state,account_length,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,customer_service_calls,clv
NH,56,No,Yes,24,121.7,87,20.69,184.0,76,15.64,266.6,98,12.0,12.7,3,3.43,1,984.9239980150264
VA,84,No,No,0,130.2,105,,278.0,60,23.63,305.4,74,13.74,14.0,6,3.78,2,896.6890300383412
VT,95,No,No,0,203.4,96,34.58,168.6,61,14.33,173.0,105,7.79,13.7,3,3.7,2,326.3002663061289
WV,93,No,No,0,141.7,95,24.09,221.0,100,18.79,227.1,71,10.22,10.2,3,2.75,0,830.5901367392073
WA,83,No,No,0,134.8,96,22.92,167.2,78,14.21,161.5,123,7.27,7.7,5,2.08,2,224.4251297389159
KS,123,No,No,0,163.1,119,,249.4,51,21.2,168.2,77,7.57,9.0,10,2.43,1,848.528090350195
VT,64,No,No,0,145.5,116,24.74,228.4,110,19.41,273.4,91,12.3,8.9,8,2.4,1,997.4835090207233
CO,110,No,No,0,131.9,93,22.42,272.7,106,23.18,192.8,105,8.68,7.1,4,1.92,1,974.6202207007747
TN,47,No,Yes,30,196.6,93,33.42,241.4,140,20.52,226.0,118,10.17,12.9,4,3.48,2,949.4376516969096
KY,115,No,No,0,99.7,107,16.95,145.1,96,12.33,149.4,99,6.72,14.1,4,3.81,2,607.1517984123485
PA,69,No,No,0,143.6,88,24.41,141.8,86,12.05,194.0,83,8.73,10.8,5,2.92,3,844.4837405226735
CT,90,No,No,0,37.8,80,,155.3,105,13.2,175.0,111,7.88,14.2,5,3.83,3,690.6512591559379
MN,98,No,No,0,72.8,107,12.38,186.4,103,15.84,175.3,110,7.89,10.5,4,2.84,3,752.5632270338689
WY,90,No,Yes,39,94.8,89,16.12,219.1,91,18.62,197.4,65,8.88,11.4,5,3.08,1,766.6830559858956
PA,174,No,Yes,15,221.8,143,37.71,210.6,115,17.9,221.8,109,9.98,12.4,9,3.35,1,1125.657121904736
ID,114,,No,0,202.1,100,34.36,195.7,102,16.63,291.8,120,13.13,13.3,5,3.59,2,805.2322359549812
PA,141,No,No,0,215.6,113,36.65,200.6,81,17.05,153.8,107,6.92,12.4,6,3.35,1,932.2708853224492
NM,132,No,No,0,169.9,107,28.88,209.4,121,17.8,206.1,79,9.27,11.5,2,3.11,1,865.0687859233711
FL,133,No,No,0,201.7,85,34.29,169.4,116,14.4,286.3,80,12.88,6.0,4,1.62,0,764.4341774477357
VT,93,No,Yes,32,218.7,117,37.18,115.0,61,9.78,192.7,85,8.67,9.4,5,2.54,2,638.8411671077918
ID,24,No,Yes,29,236.3,105,,190.8,114,16.22,129.0,105,5.81,7.2,2,1.94,3,779.1799456487703
MD,54,No,No,0,273.8,113,46.55,119.6,156,10.17,267.6,117,12.04,11.7,3,3.16,1,643.6505988099336
ID,92,No,Yes,23,167.4,83,,258.6,129,21.98,116.4,110,5.24,11.2,3,3.02,4,1201.183182724809
NV,96,No,No,0,197.7,68,33.61,250.5,53,21.29,181.2,67,8.15,10.5,3,2.84,3,673.7872459817703
SC,102,,No,0,174.5,73,29.67,213.7,114,18.16,164.7,116,7.41,10.3,5,2.78,4,1079.032903343563
NE,99,No,No,0,200.0,66,34.0,107.9,104,9.17,233.7,82,10.52,11.4,2,3.08,3,622.4633357657402
ME,36,No,Yes,25,152.8,110,,242.8,67,20.64,147.4,74,6.63,9.1,2,2.46,1,859.5934947013541
MI,70,No,No,0,129.9,102,,208.7,133,17.74,231.4,93,10.41,14.3,3,3.86,1,912.4837823786957
AZ,100,No,No,0,188.5,152,,148.3,115,12.61,179.8,88,8.09,15.2,5,4.1,2,873.7654933997516
MA,80,No,No,0,149.8,123,,276.3,75,23.49,241.4,75,10.86,10.9,7,2.94,2,928.7044158206822
SC,100,No,No,0,115.9,87,,111.3,56,9.46,170.2,77,7.66,7.1,4,1.92,1,608.4220382670769
WV,50,No,No,0,131.7,108,22.39,216.5,103,18.4,196.1,126,8.82,11.0,5,2.97,1,910.9019796161664
MS,105,,No,0,101.4,48,,159.1,119,13.52,259.2,53,11.66,12.2,2,3.29,1,527.4207395833947
VA,113,No,Yes,23,149.0,104,25.33,235.8,67,20.04,201.8,76,9.08,9.5,5,2.57,4,870.4481586523312
MS,111,,Yes,36,96.8,123,16.46,170.6,105,14.5,166.0,85,7.47,13.4,4,3.62,2,790.9531432791646
NM,161,No,No,0,107.5,121,18.28,256.4,46,21.79,247.2,131,11.12,12.6,3,3.4,2,946.2891274355272
HI,97,No,Yes,43,121.1,105,,260.2,115,22.12,222.4,100,10.01,8.3,5,2.24,3,987.1141038065924
WA,130,No,No,0,124.3,70,21.13,270.7,99,23.01,239.5,83,10.78,3.5,6,0.95,0,930.37950893624
WI,92,No,No,0,157.7,101,26.81,298.6,100,25.38,216.9,99,9.76,13.8,3,3.73,1,1062.783852769915
CO,119,No,No,0,124.3,68,21.13,207.1,88,17.6,157.4,93,7.08,14.8,1,4.0,0,525.549477787457
VA,127,No,Yes,25,173.0,91,29.41,245.8,64,20.89,300.0,99,13.5,4.8,3,1.3,0,1011.933121587399
ND,153,No,Yes,31,218.5,130,37.15,134.2,103,11.41,118.9,105,5.35,9.4,6,2.54,0,685.4365086169379
HI,79,No,No,0,41.9,124,7.12,211.0,95,17.94,237.9,55,10.71,11.4,5,3.08,1,983.3773006700984
ND,35,No,No,0,260.8,87,44.34,258.1,78,21.94,131.3,123,5.91,5.8,2,1.57,1,720.3839953176242
MN,68,,No,0,226.7,94,38.54,168.4,129,14.31,188.7,117,8.49,10.2,1,2.75,0,898.7017400244334
MT,71,,Yes,23,175.7,82,,258.9,136,22.01,268.4,154,12.08,14.1,7,3.81,1,1063.963694265613
WV,124,No,No,0,157.4,107,26.76,167.8,112,14.26,188.8,102,8.5,8.8,3,2.38,3,794.1200040744302
WY,225,No,No,0,182.7,142,31.06,246.5,63,20.95,218.0,103,9.81,8.8,2,2.38,1,1090.1821528759829
VT,63,No,No,0,142.5,92,24.23,208.3,102,17.71,228.9,120,10.3,7.5,2,2.03,2,873.880711613517
MO,80,Yes,Yes,15,159.3,110,27.08,170.6,120,14.5,141.2,82,6.35,11.9,5,3.21,1,1005.008203183396
NC,118,Yes,Yes,39,153.8,106,26.15,123.3,111,10.48,117.8,103,5.3,9.2,6,2.48,1,889.2440988640254
NJ,42,,No,0,180.7,127,30.72,174.6,94,14.84,165.3,114,7.44,12.0,6,3.24,2,917.9962003861096
TX,66,No,Yes,35,190.8,100,32.44,261.3,93,22.21,209.5,108,9.43,8.9,6,2.4,0,1001.831718624539
WA,66,No,No,0,205.1,102,34.87,232.7,109,19.78,259.9,95,11.7,9.2,6,2.48,2,976.9570615605724
TN,127,No,Yes,28,235.6,124,40.05,236.8,113,20.13,241.2,127,10.85,7.7,2,2.08,1,947.4273298651635
HI,146,No,No,0,189.3,77,32.18,155.9,128,13.25,186.0,83,8.37,7.4,3,2.0,0,735.6504766393541
WY,93,,Yes,42,166.9,101,28.37,273.2,84,23.22,171.0,106,7.69,11.5,1,3.11,1,1085.302727373983
AL,115,No,Yes,14,192.3,86,32.69,88.7,90,7.54,229.4,120,10.32,10.5,3,2.84,2,316.4640180138775
NC,114,No,No,0,193.0,101,32.81,250.0,81,21.25,133.3,79,6.0,9.6,2,2.59,2,901.5768523336
OH,106,No,No,0,158.6,112,26.96,220.0,114,18.7,252.9,106,11.38,9.1,3,2.46,0,1053.087320615298
CO,59,No,No,0,153.6,92,26.11,205.5,88,17.47,114.5,89,5.15,12.5,10,3.38,1,780.6417526124933
ND,87,Yes,Yes,40,221.6,79,,157.1,74,13.35,222.4,124,10.01,11.5,3,3.11,1,770.718323603641
NY,21,No,No,0,244.7,81,41.6,168.0,117,14.28,281.5,87,12.67,6.6,1,1.78,1,709.6909810004663
WI,142,No,Yes,24,239.8,103,40.77,285.9,65,24.3,256.7,106,11.55,9.5,4,2.57,0,1225.485872651225
CO,54,No,Yes,39,117.6,82,19.99,159.2,60,13.53,236.4,113,10.64,11.3,10,3.05,2,586.0991044354579
IL,85,No,Yes,29,144.6,97,24.58,140.0,102,11.9,165.4,148,7.44,10.9,3,2.94,1,426.8441447990152
MO,45,No,Yes,29,135.8,104,23.09,222.5,101,18.91,235.6,92,10.6,7.9,6,2.13,2,932.7270274958687
OH,146,No,Yes,31,202.5,91,34.43,241.4,108,20.52,169.6,77,7.63,7.8,2,2.11,1,906.2809261842888
WI,63,No,Yes,34,152.2,119,25.87,227.1,91,19.3,195.7,103,8.81,12.3,5,3.32,1,1032.0072126614662
OH,72,No,No,0,138.9,111,23.61,211.6,102,17.99,179.5,91,8.08,10.8,3,2.92,1,917.5722816994797
TN,130,No,No,0,127.0,102,21.59,206.9,107,17.59,231.7,99,10.43,6.1,6,1.65,0,885.4065320977063
SD,97,No,No,0,168.6,87,28.66,259.2,105,22.03,279.8,123,12.59,7.3,4,1.97,1,984.7618125882497
GA,160,No,Yes,29,164.6,121,27.98,262.8,108,22.34,123.8,131,5.57,15.2,4,4.1,1,1101.657956078127
TX,79,No,No,0,144.0,90,,135.8,91,11.54,212.4,129,9.56,13.0,4,3.51,1,737.3883902785208
WV,92,No,Yes,47,141.6,95,24.07,207.9,130,17.67,203.6,95,9.16,10.2,11,2.75,0,998.122039674182
MI,59,,No,0,204.3,65,34.73,247.3,123,21.02,214.7,94,9.66,12.0,4,3.24,1,570.0590378601813
ND,132,No,No,0,163.2,80,,167.6,90,14.25,87.5,90,3.94,6.2,10,1.67,1,845.2065220144673
SD,93,No,No,0,176.1,103,29.94,199.7,130,16.97,263.9,96,11.88,8.5,6,2.3,2,1142.331582018555
NJ,147,,Yes,36,254.2,78,43.21,228.1,105,19.39,98.0,125,4.41,13.8,7,3.73,5,982.0010923091804
AK,101,No,No,0,174.9,105,29.73,262.0,75,22.27,210.0,93,9.45,8.5,5,2.3,1,1075.581721041855
CO,63,,No,0,211.8,84,36.01,230.9,137,19.63,217.1,99,9.77,10.7,9,2.89,3,934.053797334696
MD,107,No,No,0,241.9,102,41.12,126.9,117,10.79,185.6,92,8.35,11.7,6,3.16,0,770.0240179802397
MN,117,No,No,0,161.6,104,27.47,196.3,119,16.69,294.8,111,13.27,13.8,2,3.73,1,920.0160429641874
KY,124,No,No,0,194.0,103,32.98,241.0,116,20.49,227.5,153,10.24,11.9,5,3.21,0,1012.91263888893
NH,115,No,No,0,109.7,148,18.65,223.8,87,19.02,240.3,96,10.81,15.4,8,4.16,3,1064.19743072157
CO,156,No,No,0,277.0,119,47.09,238.3,106,20.26,94.4,96,4.25,8.3,3,2.24,1,933.1954227326877
KY,89,,No,0,192.1,83,32.66,163.6,88,13.91,169.7,138,7.64,6.1,3,1.65,0,702.6691555320873
KY,72,No,No,0,198.4,147,,216.9,121,18.44,112.8,125,5.08,13.1,4,3.54,0,1096.6703665645261
OR,53,No,No,0,184.8,98,31.42,216.4,125,18.39,141.1,116,6.35,18.4,3,4.97,2,951.4849232474871
SD,116,No,No,0,167.8,119,28.53,142.0,123,12.07,190.7,128,8.58,7.3,4,1.97,2,867.4826802843147
DE,78,No,No,0,139.2,140,23.66,191.4,113,16.27,286.5,125,12.89,11.8,3,3.19,3,931.8770676748641
OH,123,No,Yes,39,270.4,99,45.97,245.1,110,20.83,108.9,113,4.9,15.4,7,4.16,1,1012.358835493737
AR,116,No,Yes,23,253.0,78,43.01,138.9,121,11.81,277.8,104,12.5,11.8,3,3.19,2,732.6369242429939
WI,102,No,No,0,200.6,106,34.1,152.5,127,12.96,199.4,128,8.97,7.7,2,2.08,3,837.2879424239584
OR,95,No,No,0,167.6,96,28.49,176.0,89,14.96,250.9,113,11.29,13.4,6,3.62,2,722.8424159411533
VA,102,No,No,0,156.5,67,26.61,204.3,103,17.37,141.9,72,6.39,9.9,2,2.67,2,714.7489241626929
AR,89,No,Yes,25,215.1,140,36.57,197.4,69,16.78,162.1,117,7.29,10.6,10,2.86,1,854.5468563983219
CT,50,No,No,0,301.7,82,51.29,167.1,118,14.2,72.2,89,3.25,10.5,6,2.84,1,650.645566235169
OH,93,No,Yes,42,152.3,90,25.89,267.5,102,22.74,266.9,130,12.01,11.3,5,3.05,7,875.9669894316098
WY,68,No,No,0,195.4,116,33.22,212.1,101,18.03,138.4,134,6.23,15.1,11,4.08,1,902.2404781685583
IL,70,No,No,0,208.7,97,,275.5,83,23.42,182.5,122,8.21,8.0,3,2.16,2,911.4074839942572
MO,138,No,Yes,29,190.1,87,,223.2,123,18.97,256.2,130,11.53,14.2,6,3.83,0,912.1773564663147
MA,112,No,Yes,17,183.2,95,31.14,252.8,125,21.49,156.7,95,7.05,9.7,3,2.62,0,531.5490714988346
IA,1,No,Yes,26,208.0,115,35.36,185.0,113,15.73,177.7,144,8.0,8.1,9,2.19,1,896.9533597814232
AL,70,No,No,0,230.3,110,,77.9,87,6.62,247.1,105,11.12,13.2,4,3.56,1,599.8273329912753
NV,105,,No,0,166.1,93,,175.9,106,14.95,243.5,55,10.96,16.2,3,4.37,2,819.1657116412313
NH,120,No,Yes,43,177.9,117,,175.1,70,14.88,161.3,117,7.26,11.5,4,3.11,1,883.8713321966936
WY,54,No,Yes,39,143.9,73,24.46,210.3,117,17.88,129.2,117,5.81,12.5,8,3.38,2,818.5595669949785
FL,148,Yes,No,0,148.2,138,25.19,159.6,123,13.57,197.4,62,8.88,8.6,3,2.32,2,748.9686738864896
KS,101,No,Yes,25,144.1,144,24.5,167.6,105,14.25,240.0,107,10.8,14.5,3,3.92,1,929.5852195526314
KY,172,No,No,0,172.5,85,29.33,253.1,71,21.51,221.6,113,9.97,5.9,6,1.59,0,1109.749510642034
DE,80,No,No,0,199.8,138,33.97,167.1,91,14.2,271.8,94,12.23,5.5,4,1.49,1,891.0557863146463
WI,67,No,No,0,109.1,134,18.55,142.3,76,12.1,91.2,86,4.1,10.9,5,2.94,2,708.6073206750027
CO,86,No,No,0,171.8,106,29.21,301.7,44,25.64,139.4,108,6.27,9.7,5,2.62,1,1093.390900419441
DE,133,No,No,0,245.8,102,41.79,264.7,90,22.5,111.7,103,5.03,11.2,7,3.02,0,1129.337863503607
IL,116,No,No,0,164.6,110,27.98,270.6,103,23.0,230.4,109,10.37,8.0,3,2.16,0,928.5294074667568
WA,63,No,No,0,211.7,107,35.99,271.7,77,23.09,203.3,108,9.15,7.4,7,2.0,0,979.6450900193455
TN,94,Yes,No,0,170.1,113,28.92,271.8,94,23.1,110.7,78,4.98,8.7,4,2.35,1,1263.425494356937
MA,69,No,No,0,195.1,91,33.17,261.5,57,22.23,203.8,90,9.17,11.4,5,3.08,0,971.4537652621983
NH,142,Yes,Yes,25,191.1,109,32.49,149.6,120,12.72,227.8,60,10.25,9.8,3,2.65,0,770.563983855007
MD,123,No,No,0,206.9,115,,224.4,86,19.07,197.4,60,8.88,8.3,2,2.24,3,849.9956415653019
AZ,43,No,No,0,179.3,97,30.48,252.7,126,21.48,227.5,114,10.24,8.0,5,2.16,0,763.7736777429111
IN,69,,No,0,185.3,91,31.5,219.1,88,18.62,243.6,107,10.96,5.5,5,1.49,0,742.5950818846495
NY,15,Yes,No,0,141.4,80,24.04,123.9,76,10.53,323.5,88,14.56,8.1,3,2.19,2,692.1282363719944
WV,67,No,No,0,152.5,131,,252.4,107,21.45,185.4,104,8.34,4.9,3,1.32,2,1136.115456912081
NY,99,,No,0,145.6,102,,230.9,87,19.63,181.5,86,8.17,11.4,7,3.08,1,945.8211285575574
OK,46,No,No,0,164.2,116,27.91,196.2,153,16.68,236.1,119,10.62,8.1,1,2.19,1,837.3699286269133
NC,55,Yes,No,0,221.0,115,37.57,165.4,97,14.06,235.4,117,10.59,9.7,4,2.62,1,806.2157701807547
TX,92,No,No,0,139.8,98,23.77,174.9,143,14.87,201.6,135,9.07,9.4,7,2.54,2,694.9697566119426
HI,132,Yes,Yes,33,200.3,75,34.05,226.6,67,19.26,198.8,91,8.95,12.9,3,3.48,2,1027.102060798043
AK,51,Yes,Yes,12,135.8,60,23.09,200.6,134,17.05,192.4,98,8.66,12.3,7,3.32,2,971.0319007006177
SD,27,No,No,0,236.7,110,40.24,231.9,92,19.71,164.7,85,7.41,12.7,6,3.43,1,1008.917615797154
ID,224,No,No,0,111.4,133,18.94,175.0,66,14.88,217.2,106,9.77,5.5,6,1.49,3,662.4331891406297
WA,117,No,No,0,191.1,93,32.49,282.8,56,24.04,84.8,118,3.82,12.0,4,3.24,2,1131.92567116763
VA,146,No,No,0,205.4,101,34.92,134.9,77,11.47,310.5,83,13.97,10.3,2,2.78,3,616.1771494328746
NM,68,,No,0,131.6,89,22.37,137.0,109,11.65,256.3,107,11.53,10.2,5,2.75,3,632.9622927367468
AZ,134,No,Yes,40,142.9,105,24.29,88.6,61,7.53,290.0,96,13.05,10.8,6,2.92,1,626.6881819628601
VT,113,No,No,0,207.2,113,35.22,256.0,80,21.76,211.0,87,9.49,9.9,1,2.67,1,961.4250506390672
MO,132,No,No,0,206.2,100,35.05,211.2,118,17.95,196.2,122,8.83,10.2,6,2.75,1,641.1101364298675
NY,61,No,No,0,197.7,118,,152.2,96,12.94,221.0,93,9.95,7.0,3,1.89,2,539.3587350288113
DC,91,,Yes,39,169.8,105,28.87,65.2,116,5.54,144.4,92,6.5,10.9,4,2.94,1,724.822777950501
NE,88,No,Yes,28,190.6,104,32.4,237.3,105,20.17,211.6,116,9.52,9.8,1,2.65,2,981.6847331174286
MA,88,No,Yes,45,80.3,140,13.65,153.3,101,13.03,309.2,123,13.91,12.8,3,3.46,2,723.6565123240644
NM,182,No,No,0,69.1,114,,230.3,109,19.58,256.7,96,11.55,6.5,4,1.76,0,990.5110824175264
CO,118,No,No,0,188.8,60,32.1,217.4,64,18.48,220.1,100,9.9,8.2,7,2.21,4,834.1309956294825
IL,65,No,No,0,192.0,89,,139.5,88,11.86,187.4,102,8.43,5.5,4,1.49,2,483.90030248767516
UT,61,No,Yes,25,163.7,78,27.83,113.2,112,9.62,134.1,118,6.03,9.9,3,2.67,3,530.9889795794104
WV,172,No,No,0,211.7,100,,198.7,101,16.89,301.7,136,13.58,6.5,9,1.76,1,984.2194846467532
NJ,72,No,No,0,175.5,103,29.84,132.3,120,11.25,242.9,96,10.93,11.8,3,3.19,1,629.3482542940028
NM,113,No,No,0,150.1,120,25.52,200.1,85,17.01,266.7,105,12.0,11.0,3,2.97,2,750.2110514207213
NM,67,No,No,0,215.5,102,36.64,190.7,95,16.21,214.5,106,9.65,8.6,6,2.32,1,908.2120184156288
GA,71,No,No,0,258.4,132,,126.8,119,10.78,182.4,87,8.21,9.7,8,2.62,4,825.0120395417473
HI,134,No,No,0,242.4,126,41.21,152.9,115,13.0,318.3,115,14.32,11.8,6,3.19,1,821.7153043490767
NJ,84,No,No,0,190.2,102,32.33,197.7,141,16.8,247.5,102,11.14,9.8,6,2.65,2,1033.485942242993
ME,39,,No,0,154.1,104,26.2,204.2,112,17.36,196.2,92,8.83,9.8,4,2.65,2,805.8490491214708
OK,110,No,No,0,188.0,127,,90.5,118,7.69,150.3,64,6.76,15.3,3,4.13,3,596.855800843312
TN,102,No,No,0,103.1,70,,275.0,129,23.38,141.1,92,6.35,11.2,5,3.02,1,1068.1912696500572
WY,70,No,No,0,175.4,130,29.82,159.5,130,13.56,260.6,96,11.73,11.6,4,3.13,0,775.2359873065219
NY,142,No,No,0,145.4,93,,209.1,98,17.77,214.0,96,9.63,10.9,1,2.94,1,815.7829259801199
RI,17,No,No,0,161.5,123,,214.2,81,18.21,315.0,106,14.18,8.6,5,2.32,1,526.8773279878695
VA,90,No,No,0,102.0,118,17.34,113.3,134,9.63,188.6,105,8.49,11.4,3,3.08,2,886.1457047955166
OR,155,No,Yes,30,128.5,86,,188.4,91,16.01,254.4,85,11.45,6.8,6,1.84,1,729.6159965932707
WI,123,No,No,0,172.2,92,29.27,162.6,76,13.82,250.3,101,11.26,8.7,4,2.35,1,690.5629730755188
VA,145,No,No,0,199.2,124,33.86,126.0,86,10.71,289.2,135,13.01,7.6,3,2.05,1,786.9737482804103
MO,42,No,No,0,184.5,98,31.37,200.5,93,17.04,279.2,91,12.56,8.8,3,2.38,2,1034.954019731641
NV,125,No,No,0,168.6,99,28.66,175.6,107,14.93,243.3,92,10.95,10.9,7,2.94,0,857.2432360981296
HI,131,No,Yes,30,174.0,118,29.58,205.3,81,17.45,218.2,90,9.82,6.7,3,1.81,1,1043.247415871035
WA,107,No,No,0,230.4,65,,257.4,80,21.88,107.3,88,4.83,8.5,3,2.3,1,559.7631243020688
IL,48,No,No,0,198.2,73,33.69,202.8,115,17.24,146.4,73,6.59,5.1,5,1.38,1,970.5162533300156
IL,76,,No,0,186.1,96,31.64,211.6,100,17.99,230.6,100,10.38,8.0,4,2.16,0,555.8546149607711
LA,128,No,No,0,148.5,105,25.25,243.0,106,20.66,255.2,114,11.48,6.8,2,1.84,1,1063.8129857415809
WI,73,,No,0,157.1,109,26.71,268.8,83,22.85,181.5,91,8.17,10.0,8,2.7,0,637.1565799546506
NC,124,No,No,0,188.5,77,32.05,182.0,123,15.47,218.2,127,9.82,6.1,6,1.65,1,893.3200724447207
WA,137,No,No,0,208.8,120,35.5,225.3,100,19.15,221.6,130,9.97,11.1,5,3.0,0,906.4903223462584
MS,107,No,Yes,30,198.9,87,33.81,207.0,90,17.6,159.8,76,7.19,12.6,4,3.4,3,718.1437053103316
KY,147,No,No,0,212.8,79,,204.1,91,17.35,156.2,113,7.03,10.2,2,2.75,1,992.6894009822893
RI,116,,No,0,137.4,126,,120.0,94,10.2,130.3,64,5.86,12.4,2,3.35,3,580.6880044853967
TX,38,No,No,0,149.0,92,25.33,49.2,78,4.18,163.3,93,7.35,13.9,11,3.75,0,574.0038003853074
DE,63,No,No,0,117.1,118,19.91,249.6,90,21.22,162.2,84,7.3,11.1,4,3.0,3,980.0253524078996
NM,94,No,No,0,108.0,79,18.36,241.9,152,20.56,252.1,92,11.34,10.4,3,2.81,3,1075.080374663911
RI,131,No,No,0,112.8,133,19.18,199.4,116,16.95,142.7,105,6.42,10.1,5,2.73,0,907.6149916506273
MS,158,No,No,0,175.9,105,29.9,188.3,88,16.01,188.3,98,8.47,11.0,6,2.97,1,897.0970642169009
WI,140,No,No,0,129.6,79,,246.2,99,20.93,172.1,124,7.74,9.4,10,2.54,3,880.3565768251831
SD,52,No,Yes,20,133.3,63,22.66,184.1,123,15.65,272.9,107,12.28,13.5,2,3.65,1,933.6317430392613
VA,103,,No,0,167.8,121,28.53,212.9,123,18.1,208.2,73,9.37,13.0,3,3.51,5,749.1853394828287
CO,85,No,Yes,21,283.2,110,,239.7,108,20.37,149.5,80,6.73,6.3,1,1.7,5,861.8681594776888
WA,71,No,No,0,141.2,132,24.0,149.1,90,12.67,171.4,72,7.71,7.0,2,1.89,2,683.7516609512212
NV,177,No,Yes,27,230.2,106,39.13,196.1,78,16.67,215.4,108,9.69,10.4,2,2.81,1,714.286855754638
ID,60,No,No,0,221.1,106,37.59,178.6,48,15.18,202.7,90,9.12,7.4,3,2.0,1,720.2044793458115
KY,43,No,No,0,177.2,93,30.12,142.6,60,12.12,314.1,144,14.13,12.7,2,3.43,4,838.0436088743072
SD,125,No,No,0,163.8,73,27.85,255.6,85,21.73,192.9,95,8.68,15.7,4,4.24,0,391.5903612114286
SC,114,,Yes,4,141.3,96,,230.4,88,19.58,223.7,85,10.07,9.4,3,2.54,3,856.305468398838
MT,101,No,Yes,16,118.9,112,,228.3,97,19.41,180.1,111,8.1,8.2,5,2.21,2,959.307920298255
WI,70,No,No,0,7.9,100,1.34,136.4,83,11.59,156.6,89,7.05,12.1,1,3.27,0,599.0931565863557
AK,59,,No,0,159.5,96,,167.2,123,14.21,138.6,106,6.24,10.2,4,2.75,0,803.7862739450368
AZ,59,,No,0,150.2,70,,185.7,98,15.78,212.5,128,9.56,12.1,2,3.27,1,679.2079585642954
DE,99,No,No,0,140.7,88,23.92,210.9,98,17.93,229.9,125,10.35,12.4,4,3.35,2,897.0977768239903
VA,150,No,No,0,169.2,123,28.76,216.8,83,18.43,179.4,107,8.07,12.6,3,3.4,1,693.5605902332745
MA,81,No,No,0,220.8,77,37.54,148.5,87,12.62,183.9,100,8.28,7.6,3,2.05,2,589.3304202426983
IN,86,,No,0,216.3,96,36.77,266.3,77,22.64,214.0,110,9.63,4.5,3,1.22,0,1008.4329934563292
MD,84,No,No,0,169.5,96,28.82,157.6,94,13.4,98.2,70,4.42,10.6,7,2.86,0,667.7111638322988
NV,118,No,Yes,35,256.3,119,43.57,258.1,91,21.94,215.5,130,9.7,11.7,1,3.16,1,951.7048718989912
CO,89,No,No,0,179.7,128,,299.8,92,25.48,185.3,120,8.34,7.6,3,2.05,1,585.157349878322
AR,85,No,No,0,96.7,97,16.44,193.8,95,16.47,171.7,88,7.73,9.7,3,2.62,2,634.8550908427377
WY,160,,No,0,82.7,116,14.06,194.6,95,16.54,159.0,54,7.15,10.9,9,2.94,0,772.0857993927405
PA,28,No,No,0,168.2,87,28.59,161.7,92,13.74,192.4,112,8.66,10.1,3,2.73,3,671.3012200142988
NY,156,No,No,0,174.3,95,29.63,186.6,128,15.86,258.2,105,11.62,12.9,5,3.48,3,774.905804393817
OR,33,No,No,0,190.6,100,32.4,161.7,104,13.74,189.9,136,8.55,13.0,6,3.51,1,1037.192087690265
CA,77,No,No,0,175.5,86,29.84,205.1,78,17.43,245.2,100,11.03,17.8,3,4.81,4,946.0346696303814
NY,119,No,No,0,133.4,102,,204.6,71,17.39,196.9,103,8.86,11.1,7,3.0,1,847.8597290935406
AR,91,,Yes,27,204.6,96,34.78,136.0,93,11.56,210.5,82,9.47,6.6,2,1.78,3,569.5225447421401
MI,102,,No,0,242.2,88,41.17,233.2,89,19.82,188.5,121,8.48,6.2,6,1.67,3,937.5936251183673
OK,86,No,Yes,33,253.1,112,43.03,210.1,94,17.86,95.0,98,4.27,11.9,4,3.21,3,777.9754772975682
TX,82,,No,0,130.0,110,22.1,185.3,88,15.75,178.7,105,8.04,8.3,4,2.24,0,960.2548692323033
NC,89,No,No,0,105.9,151,18.0,189.6,142,16.12,170.9,67,7.69,12.7,7,3.43,0,899.9447477088112
ID,86,No,No,0,194.2,98,33.01,193.8,95,16.47,192.0,123,8.64,9.3,7,2.51,3,784.9608556902687
OR,92,No,No,0,196.5,82,33.41,190.0,89,16.15,163.2,99,7.34,10.8,2,2.92,2,281.9520285757823
NE,64,No,No,0,261.9,113,,148.1,99,12.59,145.2,74,6.53,13.8,4,3.73,0,775.5993676585413
RI,80,No,No,0,202.4,118,34.41,260.2,67,22.12,177.4,112,7.98,9.2,5,2.48,3,948.2181961521457
MD,165,No,Yes,39,167.4,113,28.46,172.7,94,14.68,192.6,113,8.67,9.5,4,2.57,3,429.35929369389686
ID,153,No,Yes,22,167.7,104,28.51,246.8,91,20.98,203.9,117,9.18,7.5,11,2.03,1,1060.6983443793629
SD,108,,No,0,240.2,78,40.83,230.3,109,19.58,217.0,83,9.76,5.2,1,1.4,2,888.7376638206433
NY,104,No,Yes,26,189.1,112,32.15,178.2,97,15.15,199.3,104,8.97,11.1,4,3.0,1,851.6626776370433
DE,115,,No,0,127.7,67,21.71,182.9,90,15.55,172.9,92,7.78,10.6,7,2.86,1,669.0846720571732
OK,87,No,No,0,205.2,106,34.88,99.5,122,8.46,189.5,75,8.53,13.4,3,3.62,1,699.4104283260527
IN,119,No,No,0,154.5,129,26.27,193.6,87,16.46,180.9,145,8.14,13.4,3,3.62,2,937.689006812042
NV,69,No,No,0,153.7,109,26.13,194.0,105,16.49,256.1,114,11.52,14.1,6,3.81,1,976.4575480277604
